Josh's Universe
SEC,East,West,,,,,,,,,,,
ACC,Atlantic,Big East,,,,,,,,,,,
Big Ten,East,West,,,,,,,,,,,
Big 12,Big 8,SWC,,,,,,,,,,,
Pac 12,North,South,,,,,,,,,,,
AAC,East,West,,,,,,,,,,,
# Team format:,Conference,Division,Name,Abbr,Prestige,Rival,,,,,,,
# SEC,,,,,,,,,,,,,
TEAM,SEC,West,Alabama,ALA,95,TEN,,,,,,,
TEAM,SEC,West,Auburn,AUB,85,UGA,,,,,,,
TEAM,SEC,West,LSU,LSU,86,FLA,,,,,,,
TEAM,SEC,West,Ole Miss,MIS,72,VAN,,,,,,,
TEAM,SEC,West,Mississippi State,MSST,70,KEN,,,,,,,
TEAM,SEC,West,Arkansas,ARK,75,MIZ,,,,,,,
TEAM,SEC,West,Texas A&M,TAMU,81,USC,,,,,,,
TEAM,SEC,East,Tennessee,TEN,86,ALA,,,,,,,
TEAM,SEC,East,Florida,FLA,86,LSU,,,,,,,
TEAM,SEC,East,South Carolina,SCAR,71,TAMU,,,,,,,
TEAM,SEC,East,Georgia,UGA,85,AUB,,,,,,,
TEAM,SEC,East,Vanderbilt,VAN,65,MIS,,,,,,,
TEAM,SEC,East,Kentucky,KEN,69,MSST,,,,,,,
TEAM,SEC,East,Missouri,MIZ,70,ARK,,,,,,,
# ACC,,,,,,,,,,,,,
TEAM,ACC,Big East,Boston College,BC,65,DUKE,,,,,,,
TEAM,ACC,Big East,Syracuse,CUSE,73,UNC,,,,,,,
TEAM,ACC,Big East,Rutgers,RUT,61,WF,,,,,,,
TEAM,ACC,Big East,West Virginia,WVU,73,NCSU,,,,,,,
TEAM,ACC,Big East,Virginia Tech,VT,81,UVA,,,,,,,
TEAM,ACC,Big East,Florida State,FSU,86,CLEM,,,,,,,
TEAM,ACC,Big East,Miami,MIA,84,GT,,,,,,,
TEAM,ACC,Atlantic,North Carolina,UNC,75,CUSE,,,,,,,
TEAM,ACC,Atlantic,North Carolina State,NCSU,79,WVU,,,,,,,
TEAM,ACC,Atlantic,Wake Forest,WF,62,RUT,,,,,,,
TEAM,ACC,Atlantic,Clemson,CLEM,85,FSU,,,,,,,
TEAM,ACC,Atlantic,Georgia Tech,GT,76,MIA,,,,,,,
TEAM,ACC,Atlantic,Virgina,UVA,73,VT,,,,,,,
TEAM,ACC,Atlantic,Duke,DUKE,65,BC,,,,,,,
# B10,,,,,,,,,,,,,
TEAM,Big Ten,West,Illinois,ILL,68,MSU,,,,,,,
TEAM,Big Ten,West,Wisonsin,WIS,80,OSU,,,,,,,
TEAM,Big Ten,West,Iowa,IOWA,77,PSU,,,,,,,
TEAM,Big Ten,West,Minnesota,MIN,72,MICH,,,,,,,
TEAM,Big Ten,West,Indiana,IND,63,MARY,,,,,,,
TEAM,Big Ten,West,Purdue,PUR,69,ND,,,,,,,
TEAM,Big Ten,West,Northwestern,NW,68,PITT,,,,,,,
TEAM,Big Ten,East,Michigan,MICH,94,MIN,,,,,,,
TEAM,Big Ten,East,Michigan State,MSU,78,ILL,,,,,,,
TEAM,Big Ten,East,Penn State,PSU,89,IOWA,,,,,,,
TEAM,Big Ten,East,Pittsburgh,PITT,74,NW,,,,,,,
TEAM,Big Ten,East,Ohio State,OSU,93,WIS,,,,,,,
TEAM,Big Ten,East,Maryland,MARY,63,IND,,,,,,,
TEAM,Big Ten,East,Notre Dame,ND,91,PUR,,,,,,,
# Big12,,,,,,,,,,,,,
TEAM,Big 12,Big 8,Iowa State,ISU,69,RICE,,,,,,,
TEAM,Big 12,Big 8,Nebraska,NU,90,BAY,,,,,,,
TEAM,Big 12,Big 8,Kansas,KU,68,SMU,,,,,,,
TEAM,Big 12,Big 8,Kansas State,KSU,78,TCU,,,,,,,
TEAM,Big 12,Big 8,Colorado,CU,79,TTU,,,,,,,
TEAM,Big 12,Big 8,Oklahoma,OU,91,TEX,,,,,,,
TEAM,Big 12,Big 8,Oklahoma State,OKST,77,HOU,,,,,,,
TEAM,Big 12,SWC,Texas,TEX,90,OU,,,,,,,
TEAM,Big 12,SWC,Texas Tech,TTU,74,CU,,,,,,,
TEAM,Big 12,SWC,Baylor,BAY,72,NU,,,,,,,
TEAM,Big 12,SWC,Houston,HOU,70,OKST,,,,,,,
TEAM,Big 12,SWC,TCU,TCU,72,KSU,,,,,,,
TEAM,Big 12,SWC,SMU,SMU,62,KU,,,,,,,
TEAM,Big 12,SWC,Rice,RICE,60,ISU,,,,,,,
# Pac 12,,,,,,,,,,,,,
TEAM,Pac 12,North,Washington,WAS,79,BYU,,,,,,,
TEAM,Pac 12,North,Washington State,WSU,72,UNLV,,,,,,,
TEAM,Pac 12,North,Oregon,ORE,83,ZONA,,,,,,,
TEAM,Pac 12,North,Oregon State,ORST,63,ASU,,,,,,,
TEAM,Pac 12,North,Boise State,BSU,75,UTAH,,,,,,,
TEAM,Pac 12,North,California,CAL,70,UCLA,,,,,,,
TEAM,Pac 12,North,Stanford,STAN,70,USC,,,,,,,
TEAM,Pac 12,South,UCLA,UCLA,78,CAL,,,,,,,
TEAM,Pac 12,South,USC,USC,88,STAN,,,,,,,
TEAM,Pac 12,South,Utah,UTAH,74,BSU,,,,,,,
TEAM,Pac 12,South,BYU,BYU,74,WAS,,,,,,,
TEAM,Pac 12,South,Arizona,ZONA,70,ORE,,,,,,,
TEAM,Pac 12,South,Arizona State,ASU,73,ORST,,,,,,,
TEAM,Pac 12,South,UNLV,UNLV,58,WSU,,,,,,,
# AAC,,,,,,,,,,,,,
TEAM,AAC,West,Hawaii,HAW,59,UCF,,,,,,,
TEAM,AAC,West,Colorado State,CSU,65,MEM,,,,,,,
TEAM,AAC,West,Nevada,NEV,57,TUL,,,,,,,
TEAM,AAC,West,New Mexico,NM,58,CIN,,,,,,,
TEAM,AAC,West,Wyoming,WYO,61,USM,,,,,,,
TEAM,AAC,West,Fresno State,FRES,70,ECU,,,,,,,
TEAM,AAC,West,San Diego State,SDSU,75,LOU,,,,,,,
TEAM,AAC,East,Louisville,LOU,77,SDSU,,,,,,,
TEAM,AAC,East,Cincinnati,CIN,70,NM,,,,,,,
TEAM,AAC,East,Memphis,MEM,73,CSU,,,,,,,
TEAM,AAC,East,Central Florida,UCF,72,HAW,,,,,,,
TEAM,AAC,East,East Carolina,ECU,68,FRES,,,,,,,
TEAM,AAC,East,Southern Miss,USM,69,WYO,,,,,,,
TEAM,AAC,East,Tulane,TUL,56,NEV,,,,,,,
END_FILE,,,,,,,,,,,,,
